T (°C),k (s-1),Dk (s-1)
24.4,0.000073,0.00003
30.0,0.000139,0.00005
34.7,0.000353,0.00007
40.2,0.000717,0.00012
45.1,0.001600,0.00017
50.3,0.003340,0.00015
