R (W),T (°C)
5675,3.8
4296,9.4
3296,14.9
2757,18.8
2123,24.6
1716,29.5
1393,34.7
1151,39.2
959,43.9
781.2,49.0
631.8,54.5
535.4,59.0
458.0,63.2
363.1,68.9
310.8,74.0
255.5,79.7
